edge_from,edge_to,count_added
0,0.01,0
0.01,0.02,0
0.02,0.03,0
0.03,0.04,0
0.04,0.05,0
0.05,0.06,0
0.06,0.07,0
0.07,0.08,0
0.08,0.09,0
0.09,0.1,0
0.1,0.11,0
0.11,0.12,0
0.12,0.13,0
0.13,0.14,0
0.14,0.15,0
0.15,0.16,0
0.16,0.17,0
0.17,0.18,0
0.18,0.19,0
0.19,0.2,0
0.2,0.21,0
0.21,0.22,0
0.22,0.23,0
0.23,0.24,0
0.24,0.25,0
0.25,0.26,0
0.26,0.27,0
0.27,0.28,0
0.28,0.29,0
0.29,0.3,8
0.3,0.31,28
0.31,0.32,22
0.32,0.33,24
0.33,0.34,26
0.34,0.35,50
0.35,0.36,72
0.36,0.37,96
0.37,0.38,140
0.38,0.39,184
0.39,0.4,198
0.4,0.41,242
0.41,0.42,198
0.42,0.43,162
0.43,0.44,138
0.44,0.45,148
0.45,0.46,180
0.46,0.47,138
0.47,0.48,128
0.48,0.49,106
0.49,0.5,122
0.5,0.51,120
0.51,0.52,80
0.52,0.53,76
0.53,0.54,94
0.54,0.55,94
0.55,0.56,96
0.56,0.57,92
0.57,0.58,90
0.58,0.59,36
0.59,0.6,16
0.6,0.61,28
0.61,0.62,14
0.62,0.63,18
0.63,0.64,0
0.64,0.65,0
0.65,0.66,0
0.66,0.67,0
0.67,0.68,0
0.68,0.69,0
0.69,0.7,0
0.7,0.71,0
0.71,0.72,0
0.72,0.73,0
0.73,0.74,0
0.74,0.75,0
0.75,0.76,0
0.76,0.77,0
0.77,0.78,0
0.78,0.79,0
0.79,0.8,0
0.8,0.81,0
0.81,0.82,0
0.82,0.83,0
0.83,0.84,0
0.84,0.85,0
0.85,0.86,0
0.86,0.87,0
0.87,0.88,0
0.88,0.89,0
0.89,0.9,0
0.9,0.91,0
0.91,0.92,0
0.92,0.93,0
0.93,0.94,0
0.94,0.95,0
